0,480000 1
0,536018 5
0,598573 18
0,668429 64
0,746437 199
0,833549 538
0,930827 1378
1,039458 3428
1,160766 8299
1,296232 19070
1,447507 41258
1,616436 87102
1,805080 178259
2,015740 353748
2,250984 679935
2,513682 1258600
2,807038 2234482
3,134629 3819410
3,500452 6353990
3,908968 10528068
4,365158 18157675
4,874588 35278593
5,443471 83029498
6,078744 220269725
6,788155 533633968
7,580358 1019398556
8,465013 1483882034
9,452911 1729936210
10,556101 1792992650
11,788036 1799711070
13,163743 1799967658
14,700000 1799970000
