0,120000 0
0,128941 0
0,138547 1
0,148870 4
0,159962 4
0,171880 6
0,184686 10
0,198446 15
0,213231 28
0,229118 51
0,246188 82
0,264531 139
0,284240 233
0,305417 404
0,328172 689
0,352623 1149
0,378895 1823
0,407125 2904
0,437458 4693
0,470051 7416
0,505072 11576
0,542703 17996
0,583137 27288
0,626584 41146
0,673267 61421
0,723430 90889
0,777329 133848
0,835244 195609
0,897474 284180
0,964341 410280
1,036190 587484
1,113391 835003
1,196345 1175211
1,285479 1641131
1,381254 2271825
1,484165 3122247
1,594743 4264201
1,713560 5788632
1,841230 7827963
1,978411 10574715
2,125814 14321270
2,284198 19557123
2,454383 27083472
2,637248 38246486
2,833737 55225019
3,044866 81440728
3,271725 122053297
3,515486 184136594
3,777409 276466334
4,058846 407971577
4,361252 584730962
4,686189 805859460
5,035335 1057724208
5,410495 1310510863
5,813606 1524912405
6,246751 1673142347
6,712168 1754014188
7,212260 1787493284
7,749612 1797546652
8,327000 1799649446
8,947407 1799943652
9,614037 1799968731
10,330334 1799969966
11,100000 1799970000


