0,080000 0
0,086503 0
0,093535 1
0,101138 1
0,109359 1
0,118249 2
0,127861 3
0,138254 8
0,149493 12
0,161645 25
0,174785 56
0,188992 89
0,204355 139
0,220967 238
0,238929 388
0,258351 678
0,279351 1083
0,302059 1788
0,326613 2936
0,353163 4713
0,381871 7544
0,412912 11861
0,446477 18328
0,482770 28203
0,522013 42965
0,564447 65081
0,610329 98291
0,659941 147037
0,713587 217951
0,771593 321012
0,834314 467426
0,902133 674709
0,975466 965887
1,054759 1369876
1,140498 1929215
1,233207 2700150
1,333452 3766996
1,441845 5248363
1,559049 7314739
1,685781 10217274
1,822815 14339711
1,970987 20282019
2,131204 28974332
2,304445 41931817
2,491769 61569508
2,694319 91571438
2,913335 137214669
3,150153 205573904
3,406222 304946945
3,683107 443514337
3,982498 626098266
4,306227 850018304
4,656271 1100497123
5,034769 1347751458
5,444035 1553592823
5,886568 1691491820
6,365075 1763146489
6,882478 1790929863
7,441939 1798489360
8,046878 1799815082
8,700992 1799958380
9,408276 1799969271
10,173055 1799969983
11,000000 1799970000
