0,250000 0
0,283985 5
0,322589 14
0,366442 35
0,416255 116
0,472841 348
0,537118 990
0,610133 2615
0,693074 6668
0,787290 15821
0,894313 36116
1,015885 77642
1,153983 162097
1,310854 328678
1,489050 648031
1,691470 1236006
1,921406 2277487
2,182600 4053252
2,479300 7009852
2,816333 12012168
3,199182 21210935
3,634075 40745867
4,128087 89249776
4,689254 216073180
5,326706 505661539
6,050812 991655052
6,873353 1482747058
7,807708 1737488408
8,869079 1795222510
10,074731 1799861802
11,444278 1799969479
13,000000 1799970000
